Algorithm,InputFile,mean_duration,std_duration
a*:UNMET_GOALS,first_instance.txt,27.333333333333332,5.859465277082316
a*:UNMET_GOALS,fourth_instance.txt,477.0,34.77067730142742
a*:UNMET_GOALS,second_instance.txt,154.33333333333334,10.11599393699568
a*:UNMET_GOALS,third_instance.txt,197.0,18.083141320025124
bfg:UNMET_GOALS,first_instance.txt,19.0,0.0
bfg:UNMET_GOALS,fourth_instance.txt,41.333333333333336,7.505553499465135
bfg:UNMET_GOALS,second_instance.txt,33.0,3.4641016151377544
bfg:UNMET_GOALS,third_instance.txt,41.0,4.58257569495584
bfs,first_instance.txt,21.666666666666668,0.5773502691896255
bfs,fourth_instance.txt,984.0,21.283796653792763
bfs,second_instance.txt,224.66666666666666,14.011899704655798
bfs,third_instance.txt,270.6666666666667,3.5118845842842537
dfs,first_instance.txt,18.333333333333332,3.785938897200183
dfs,fourth_instance.txt,476.0,86.53323061113575
dfs,second_instance.txt,43.0,24.331050121192877
dfs,third_instance.txt,141.0,72.17340230306452
mincost,first_instance.txt,22.666666666666668,0.5773502691896255
mincost,fourth_instance.txt,976.0,57.5065213693195
mincost,second_instance.txt,252.33333333333334,56.43875736879165
mincost,third_instance.txt,258.0,3.605551275463989
